X,Y,codice,denominazi,ubicazione,comune
11.745692,44.363779,125153,SAN PROSPERO LUGHESE S.PR,VIA LUGHESE FR 15,IMOLA
11.380292,44.455217,127000,PONTICELLA PILATI,VIA PILATI 3,PONTICELLA
11.376608,44.457662,127001,PONTICELLA BRIZZI,VIA BRIZZI 6,PONTICELLA
11.379987,44.453585,127002,PONTICELLA BELCOLLE,VIA PILATI 34,PONTICELLA
11.378096,44.454372,127004,PONTICELLA COLLE,VIA DEL COLLE 25/A,PONTICELLA
11.380194,44.458046,127006,PONTICELLA CHIESA,VIA SAN RUFFILLO 6,PONTICELLA
11.379987,44.458231,127007,PONTICELLA CHIESA,VIA SAN RUFFILLO,PONTICELLA
11.388174,44.453081,127008,CROARA TRATTORIA,VIA SAN RUFFILLO FR23,SAN LAZZARO DI SAVENA
11.38853,44.45319,127009,CROARA TRATTORIA,VIA SAN RUFFILLO 23,SAN LAZZARO DI SAVENA
11.388159,44.450551,127010,CROARA POZZO,VIA CROARA BV VIA POZZO,SAN LAZZARO DI SAVENA
11.386867,44.445051,127011,CROARA CHIESA,VIA CROARA 25,CROARA
11.39366,44.455694,127012,CROARA ACQUEDOTTO,VIA CROARA 7/2,SAN LAZZARO DI SAVENA
11.393585,44.45601,127013,CROARA ACQUEDOTTO,VIA CROARA 7/2,SAN LAZZARO DI SAVENA
11.400071,44.469513,127014,SCUOLE CANOVA,VIA F.LLI CANOVA 34,SAN LAZZARO DI SAVENA
11.399801,44.469662,127015,SCUOLE CANOVA,VIA FRATELLI CANOVA 34,SAN LAZZARO DI SAVENA
11.403853,44.470054,127016,REPUBBLICA USL,VIA REPUBBLICA 13,SAN LAZZARO DI SAVENA
11.404163,44.470255,127017,REPUBBLICA USL,VIA REPUBBLICA 13,SAN LAZZARO DI SAVENA
11.40951,44.4679,127018,PIAZZA REPUBBLICA,VIA REPUBBLICA 94,SAN LAZZARO DI SAVENA
11.409679,44.468031,127019,PIAZZA REPUBBLICA,PIAZZA REPUBBLICA 14/B,SAN LAZZARO DI SAVENA
