codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
1;600207;GIOVECCA MONTEBELLO;CSO DELLA GIOVECCA 105;FERRARA;707539;968277;44,835913;11,624678;600
1;600236;FRUTTETI;VIA DEI FRUTTETI 143;FERRARA;709174;968196;44,834706;11,645308;600
1;600255;COPPARO TUROLDO;COPPARO F 86;FERRARA;708877;969359;44,845251;11,642033;600
1;600602;GIOVANNI XXIII;via GIOVANNI XXIII 55;FERRARA;708566;968983;44,841961;11,637947;600
1;600622;VIA DEI CEDRI 2/A;VIA DEI CEDRI 2-A;FERRARA;708908;968144;44,834316;11,641925;600
101;20;PORTA SAN VITALE;VIALE FILOPANTI 11;BOLOGNA;687470;929700;44,494487;11,356886;500
101;23;ALBERTI SIGONIO;VIA LEANDRO ALBERTI 83/85;BOLOGNA;688786;928416;44,482594;11,372955;500
101;1003;PORTA MAZZINI;VIA MAZZINI 5/A;BOLOGNA;687598;929165;44,489642;11,3583;500
101;1013;FERMI;VIA MAZZINI 117/D;BOLOGNA;688724;928612;44,484374;11,372248;500
101;1501;SAN LAZZARO POGGI;VIA EMILIA 230;SAN LAZZARO DI SAVENA;692139;926910;44,468163;11,414524;501
101;1505;SAN LAZZARO CIMITERO;VIA EMILIA 294;SAN LAZZARO DI SAVENA;693415;926281;44,462164;11,430317;501
101;2003;OSPEDALE SANT`ORSOLA;VIA MASSARENTI FR 78;BOLOGNA;687845;929523;44,492798;11,361534;500
101;10010;MARESCOTTA;VIA EMILIA FR 484;SAN LAZZARO DI SAVENA;695062;925485;44,454561;11,450702;501
101;10013;CAMPANA;VIA EMILIA 520;SAN LAZZARO DI SAVENA;695578;925216;44,452002;11,457081;501
101;10026;OZZANO PIAVE;VIA EMILIA 215;OZZANO DELL`EMILIA;697901;924102;44,441349;11,485825;511
101;10029;TOLARA BIVIO;VIA EMILIA 400;OZZANO DELL`EMILIA;698296;923892;44,439352;11,490704;511
101;10042;PONTE QUADERNA;VIA EMILIA PONENTE FR 7031;OZZANO DELL`EMILIA;699733;923199;44,432723;11,508477;512
101;10045;OSTERIA GRANDE;VIA EMILIA PONENTE 6245;OSTERIA GRANDE;700474;922823;44,429136;11,517633;512
101;10058;BASTIANA;VIA EMILIA PONENTE 4500;CASTEL SAN PIETRO TERME;702038;922074;44,421964;11,536972;513
101;10061;GALLO;VIA EMILIA PONENTE FR 90;CASTEL SAN PIETRO TERME;703020;921567;44,417129;11,549098;513
101;10074;CASTEL S.PIETRO T. FIAT;VIA EMILIA PONENTE 210;CASTEL SAN PIETRO TERME;705876;920164;44,403702;11,58438;513
101;10081;COZZO;VIA EMILIA LEVANTE 1420;CASTEL SAN PIETRO TERME;708023;919078;44,393321;11,61088;513
101;10084;TOSCANELLA 25 APRILE;VIA EMILIA (SS 9) 24;TOSCANELLA;709968;918137;44,384296;11,634896;514
101;10090;TOSCANELLA;VIA EMILIA fr 95;TOSCANELLA;710118;918058;44,383542;11,636745;514
101;10097;PIRO PIRO;VIA EMILIA FR 6;DOZZA;710951;917633;44,379477;11,647019;514
101;11809;SCANIA ALBERTAZZI;VIA SCANIA 186;CASTEL SAN PIETRO TERME;706026;919629;44,398848;11,58605;513
101;110000;PIRATELLO CIMITERO;VIA EMILIA PIAZZALE INTERNO CIMITERO;PIRATELLO;712960;916590;44,369509;11,671785;510
101;110103;IMOLA GALASSI;VIA EMILIA 30 MT. DOPO VIA RONCAGLIE;IMOLA;713973;916116;44,364947;11,68429;510
101;110106;FORNACE;VIALE AMENDOLA 169;IMOLA;714448;915905;44,362909;11,690158;510
101;110109;AMENDOLA;VIALE AMENDOLA 34;IMOLA;715341;915438;44,358444;11,701159;510
101;131137;IMOLA VILLA CLELIA;VIA VILLA CLELIA 28;IMOLA;715058;915170;44,356118;11,697501;510
101;132101;IMOLA SAFFI CUP;V.LE SAFFI 44;IMOLA;715808;914867;44,35317;11,706776;510
102;114102;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI FR 38;IMOLA;715854;915360;44,35759;11,707557;510
102;114105;IMOLA PALESTRA;VIALE CARDUCCI FR 11;IMOLA;716375;915251;44,356454;11,714042;510
102;120101;IMOLA AUTOSTAZIONE;VIA COSTA 45;IMOLA;716645;915356;44,357318;11,71747;510
103;11505;CASTEL S.PIETRO T. FRATI;VIA VIARA FR CABINA ENEL;CASTEL SAN PIETRO TERME;706153;919267;44,395556;11,587499;513
103;11518;CASTEL SAN PIETRO CASA CA;VIA VIARA BV LA POIA;CASTEL SAN PIETRO TERME;705289;916214;44,368344;11,575457;513
103;11521;MONTICINO;VIA VIARA ANG DEL PARTIGIANO;CASTEL SAN PIETRO TERME;705134;915802;44,364682;11,573351;513
103;11534;FRANTOIO;VIA VIARA FR CALCINA;CASALFIUMANESE;703908;913896;44,347886;11,557234;513
103;11537;LA BARLETA;VIA VIARA 6830;CASTEL SAN PIETRO TERME;703631;913521;44,344592;11,553615;528
103;11550;MARZOCCHINA;VIA VIARA 9689;CASTEL SAN PIETRO TERME;701887;912006;44,331454;11,531171;528
103;11560;FORNO;VIA VIARA FR 12324;CASTEL SAN PIETRO TERME;700252;910714;44,320286;11,510187;528
103;11563;CORIGNANO;VIA VIARA 12998;CASTEL SAN PIETRO TERME;699637;910627;44,319674;11,502449;528
103;11576;S.CLEMENTE RIGNANO B. CHI;VIA SILLARO FR 16;MONTERENZIO;697880;910452;44,318581;11,480369;528
/;3018;SAN DONNINO;VIA SAN DONATO 158/69;BOLOGNA;689120;931323;44,508655;11,378215;500
/;3301;CAVALCAVIA MASCARELLA;VIA STALINGRADO 15/6;BOLOGNA;687289;931071;44,506867;11,355108;500
1;110113;IMOLA OSPEDALE VECCHIO;VIALE AMENDOLA 6/2;IMOLA;715831;915188;44,35605;11,707197;510
1;112102;IMOLA SAVONAROLA;P.ZZA SAVONAROLA FR 20;IMOLA;716415;915223;44,35619;11,714532;510
1;120103;IMOLA STAZIONE;P.LE MARABINI 4;IMOLA;716721;915552;44,359057;11,718504;510
1;122104;IMOLA MARCONI;V.LE MARCONI 73;IMOLA;715915;915812;44,361636;11,708509;510
1;124511;IMOLA PAMBERA;VIA PAMBERA 107;IMOLA;715507;916170;44,364977;11,703543;510
1;124514;IMOLA PONTESANTO;VIA BECCARIA 4;IMOLA;715157;916363;44,366817;11,699235;510
1;124517;IMOLA TINTI SCUOLE;VIA TINTI FR SCUOLE;IMOLA;714687;916263;44,366058;11,693301;510
1;124527;ZOLINO;VIA GUALANDI 10;IMOLA;714339;916157;44,365207;11,688895;510
1;124530;ZOLINO GUALANDI;VIA FRATELLI GUALANDI PL 5255;IMOLA;714446;916297;44,366435;11,690294;510
1;132102;IMOLA SAFFI CUP;V.LE SAFFI FR 26/D;IMOLA;715818;914881;44,353293;11,706907;510
1;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352578;11,709321;510
1;133101;IMOLA BELVEDERE;VIA BELVEDERE FR 2;IMOLA;714559;915690;44,360943;11,691461;510
1;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,34867;11,712767;510
1;150112;IMOLA GRATTACIELO;VIALE DANTE 14;IMOLA;716317;914393;44,348756;11,712959;510
1;151111;COLOMBARINA;VIA MANZONI 6;IMOLA;716786;914436;44,349002;11,718854;510
1;151114;IMOLA LEOPARDI;VIA LEOPARDI 3;IMOLA;717090;914504;44,349522;11,722693;510
1;600016;SAN ROCCO MEDAGLIE D`ORO;RPA DI SAN ROCCO F 15;FERRARA;708280;967946;44,83272;11,633907;600
1;600019;SAN ROCCO FOSSATO DI MORT;RPA DI SAN ROCCO 27;FERRARA;708332;968244;44,835384;11,634686;600
1;600164;CAVOUR GIARDINI;VIA CAVOUR 22;FERRARA;707033;968580;44,838785;11,618406;600
1;600193;PIAZZALE MEDAGLIE D`ORO;PLE DELLE MEDAGLIE D`ORO 205;FERRARA;708181;967868;44,832047;11,632624;600
1;600202;GIOVECCA TEATINI;CSO DELLA GIOVECCA 50;FERRARA;707288;968424;44,837308;11,621565;600
1;600209;GIOVECCA TEATINI;CSO DELLA GIOVECCA 47;FERRARA;707318;968417;44,837236;11,621942;600
1;600238;FRUTTETI CALDIROLO;VIA DEI FRUTTETI F 3;FERRARA;708477;968413;44,836861;11,636588;600
1;600244;CALDIROLO;VIA CALDIROLO 91;FERRARA;708411;968727;44,839704;11,635883;600
1;600254;COPPARO TUROLDO;COPPARO 64;FERRARA;708821;969344;44,845133;11,641319;600
1;600257;COPPARO MORARI;COPPARO 105;FERRARA;709075;969399;44,845553;11,644552;600
1;600601;GIOVANNI XXIII;via GIOVANNI XXIII 36;FERRARA;708510;968970;44,841861;11,637234;600
1;600620;CEDRI SAN CONTARDO D`ESTE;VIA DEI CEDRI 26;FERRARA;709100;968048;44,833397;11,644312;600
1;600935;STAZIONE;Piazzale della Stazione pensilina A;FERRARA;705881;968977;44,842689;11,604006;600
101;1005;ALBERTONI;VIA MAZZINI 49;BOLOGNA;687970;928980;44,487881;11,362908;500
101;1034;VILLAGGIO DUE MADONNE;VIA DOZZA FR 19/B;BOLOGNA;690586;927701;44,47569;11,395308;500
101;1503;CICOGNA;VIA EMILIA 282;SAN LAZZARO DI SAVENA;693102;926448;44,46375;11,426448;501
101;1506;SAN LAZZARO CIMITERO;VIA EMILIA FR 294;SAN LAZZARO DI SAVENA;693398;926312;44,462448;11,430115;501
101;2004;OSPEDALE SANT`ORSOLA ALBE;VIA MASSARENTI 102;BOLOGNA;688055;929473;44,492293;11,364155;500
101;10002;IDICE;VIA EMILIA FR 344;SAN LAZZARO DI SAVENA;693917;926056;44,460006;11,436538;501
101;10005;IDICE TRE PONTI;VIA EMILIA 452;IDICE;694575;925683;44,456474;11,444661;501
101;10018;OLMATELLO;VIA EMILIA 25;OZZANO DELL`EMILIA;696377;924850;44,448493;11,466975;511
101;10021;OZZANO;VIA EMILIA 210;OZZANO DELL`EMILIA;697072;924492;44,445084;11,475566;511
101;10034;CASETTI BONI;VIA EMILIA FR 442;OZZANO DELL`EMILIA;698746;923687;44,437385;11,496275;511
101;10037;MAGGIO;VIA EMILIA 470;OZZANO DELL`EMILIA;699182;923460;44,435223;11,501661;512
101;10050;BARCHETTA;VIA EMILIA PONENTE KM 95+210;OSTERIA GRANDE;701063;922541;44,426436;11,524917;512
101;10053;SAN NICOLO` DI VARIGNANA;VIA EMILIA PONENTE 5135;CASTEL SAN PIETRO TERME;701492;922320;44,424329;11,530215;512
101;10066;ERCOLANA;VIA EMILIA PONENTE FR CONVENTINO;CASTEL SAN PIETRO TERME;703581;921309;44,41465;11,556036;513
101;10069;MAGIONE;VIA EMILIA PONENTE BV LIANO;MAGIONE;704637;920763;44,409441;11,569072;513
101;10076;CASTEL S.PIETRO MARTIRI P;PIAZZA MARTIRI PARTIGIANI 11;CASTEL SAN PIETRO TERME;706356;919720;44,399572;11,590226;513
101;10082;COZZO;VIA EMILIA LEVANTE FR 1420;CASTEL SAN PIETRO TERME;708079;919068;44,393215;11,611579;513
101;10089;TOSCANELLA;VIA EMILIA FR 52;TOSCANELLA;710292;917952;44,382538;11,638885;514
101;10098;PIRO PIRO;VIA EMILIA 4;TOSCANELLA;710951;917644;44,379576;11,647024;514
101;11814;SCANIA TORRICELLI;VIA SCANIA 571;CASTEL SAN PIETRO TERME;705692;919749;44,400022;11,581907;513
101;110101;PIRATELLO;VIA EMILIA 26;PIRATELLO;712862;916682;44,370365;11,670594;510
101;110104;IMOLA GALASSI;VIA EMILIA 50 MT. PRIMA BV VIA GALASSI;IMOLA;714023;916118;44,36495;11,684918;510
101;114102;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI FR 38;IMOLA;715854;915360;44,35759;11,707557;510
101;114105;IMOLA PALESTRA;VIALE CARDUCCI FR 11;IMOLA;716375;915251;44,356454;11,714042;510
101;120101;IMOLA AUTOSTAZIONE;VIA COSTA 45;IMOLA;716645;915356;44,357318;11,71747;510
101;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,34867;11,712767;510
102;110000;PIRATELLO CIMITERO;VIA EMILIA PIAZZALE INTERNO CIMITERO;PIRATELLO;712960;916590;44,369509;11,671785;510
102;110103;IMOLA GALASSI;VIA EMILIA 30 MT. DOPO VIA RONCAGLIE;IMOLA;713973;916116;44,364947;11,68429;510
102;110106;FORNACE;VIALE AMENDOLA 169;IMOLA;714448;915905;44,362909;11,690158;510
103;11510;DUE FORNI;VIA VIARA FR 1630;CASTEL SAN PIETRO TERME;705646;917723;44,381814;11,580529;513
103;11513;SEGHERIA;VIA VIARA FR 2431;CASTEL SAN PIETRO TERME;705507;917073;44,376008;11,578529;513
/;449;PIAZZA DEI MARTIRI;PIAZZA DEI MARTIRI 1;BOLOGNA;686137;930476;44,501813;11,340413;500
/;3013;SAN DONNINO;VIA SAN DONATO 153/2;BOLOGNA;689147;931313;44,508558;11,378551;500
/;3302;CAVALCAVIA MASCARELLA;VIA STALINGRADO P.L. 48;BOLOGNA;687288;931101;44,507137;11,355106;500
/;3315;PARCO NORD;VIA STALINGRADO FR P.L. 197;BOLOGNA;688101;933241;44,526174;11,366105;500
1;110106;FORNACE;VIALE AMENDOLA 169;IMOLA;714448;915905;44,362909;11,690158;510
1;110116;IMOLA SCUOLE CARDUCCI;VIA CAVOUR 10/A;IMOLA;716099;915271;44,356716;11,710591;510
1;111102;IMOLA VIA EMILIA;VIA EMILIA 81;IMOLA;716241;914990;44,354147;11,712254;510
1;124510;MILANA;VIA PAMBERA 22/D;IMOLA;715720;915996;44,363349;11,706141;510
1;131129;IMOLA OSPEDALE NUOVO;VIA MONTERICCO 1;IMOLA;714430;915240;44,356934;11,689658;510
1;132106;BIANCONCINI;V.LE SAFFI 43;IMOLA;716018;914821;44,352694;11,709389;510
1;133102;IMOLA BELVEDERE;VIA BELVEDERE FR 5;IMOLA;714569;915682;44,360868;11,691583;510
1;150106;IMOLA IST. ALBERGHETTI;V.LE DANTE 8;IMOLA;716314;914557;44,350231;11,712989;510
1;151102;IMOLA PORTA MAZZINI;V.LE ZAPPI PL 21;IMOLA;716262;914656;44,351137;11,712379;510
1;152102;IMOLA GUICCIARDINI;VIA GUICCIARDINI 4;IMOLA;716700;914279;44,347616;11,717711;510
1;600017;SAN ROCCO MEDAGLIE D`ORO;RPA DI SAN ROCCO 15;FERRARA;708261;967895;44,832267;11,633646;600
1;600020;SAN ROCCO FARMACIA;RPA DI SAN ROCCO F 10;FERRARA;708295;968730;44,839765;11,634418;600
1;600158;CAVOUR BARRIERA;VLE CAVOUR 210;FERRARA;706341;969013;44,842879;11,609836;600
1;600161;CAVOUR ISONZO;VLE CAVOUR 185/A;FERRARA;706586;968857;44,841405;11,612869;600
1;600203;GIOVECCA CITTA` DELLA SAL;CSO DELLA GIOVECCA F180;FERRARA;708044;967953;44,832852;11,630927;600
1;600206;GIOVECCA PARCO PARESCHI;CSO DELLA GIOVECCA 148;FERRARA;707848;968055;44,833826;11,628492;600
1;600242;FRUTTETI SALICE;VIA DEI FRUTTETI 140/144;FERRARA;708906;968270;44,83545;11,641951;600
1;600251;BORGO PUNTA;VIA BORGO PUNTA 92;FERRARA;708691;969186;44,84375;11,639611;600
1;600624;TURCHI;VIA TURCHI GAETANO 2;FERRARA;708737;968078;44,833773;11,639737;600
101;19;PORTA SAN DONATO;VIALE BERTI PICHAT 30;BOLOGNA;687437;930211;44,499093;11,356656;500
101;305;PORTA SAN DONATO;VIA IRNERIO 57;BOLOGNA;687319;930131;44,498404;11,355144;500
101;472;STAZIONE CENTRALE;VIALE PIETRAMELLARA TRA 18/3 E P.C.16877;BOLOGNA;686235;930884;44,505458;11,341792;500
101;1006;ALEMANNI;VIA MAZZINI 140;BOLOGNA;688281;928839;44,486531;11,366764;500
101;1012;FERMI;VIA EMILIA LEVANTE 6/5;BOLOGNA;688846;928564;44,48391;11,373763;500
101;1028;ARNO;VIA EMILIA LEVANTE 194/14;BOLOGNA;690142;927922;44,477795;11,389811;500
101;1044;SAN LAZZARO MUNICIPIO;VIA EMILIA 165/B;SAN LAZZARO DI SAVENA;691692;927149;44,470432;11,408998;501
101;1504;CICOGNA;VIA EMILIA FR 280;SAN LAZZARO DI SAVENA;693022;926503;44,464266;11,425464;501
101;2002;OSPEDALE SANT`ORSOLA;VIA MASSARENTI 90/2C;BOLOGNA;687882;929521;44,49277;11,361998;500
101;2005;OSPEDALE SANT`ORSOLA ALBE;VIA MASSARENTI PL 33;BOLOGNA;688063;929457;44,492147;11,36425;500
101;2105;ZANOLINI;VIA ZANOLINI 40;BOLOGNA;687659;930004;44,497173;11,359371;500
101;10006;IDICE TRE PONTI;VIA EMILIA 379;IDICE;694545;925716;44,456779;11,444297;501
101;10009;MARESCOTTA;VIA EMILIA 484;SAN LAZZARO DI SAVENA;695136;925436;44,454101;11,451613;501
101;10022;OZZANO;VIA EMILIA 113;OZZANO DELL`EMILIA;697132;924474;44,444906;11,476312;511
101;10025;OZZANO PIAVE;VIA EMILIA FR 213;OZZANO DELL`EMILIA;697855;924105;44,441389;11,485249;511
101;10038;MAGGIO;VIA EMILIA 317;MAGGIO;699170;923485;44,435451;11,50152;512
101;10041;PONTE QUADERNA;VIA EMILIA PONENTE 7031;OSTERIA GRANDE;699773;923172;44,432469;11,508969;512
101;10054;SAN NICOLO` DI VARIGNANA;VIA EMILIA PONENTE 5218;CASTEL SAN PIETRO TERME;701409;922378;44,424874;11,529196;512
101;10057;BASTIANA;VIA EMILIA PONENTE 4515;CASTEL SAN PIETRO TERME;701999;922080;44,422029;11,536485;513
101;10070;MAGIONE;VIA EMILIA PONENTE 15;CASTEL SAN PIETRO TERME;704571;920815;44,409928;11,568264;513
101;10073;CASTEL S.PIETRO T. FIAT;VIA EMILIA PONENTE 211;CASTEL SAN PIETRO TERME;705890;920142;44,4035;11,584547;513
101;10077;CASTEL S.PIETRO MARTIRI P;PIAZZA MARTIRI PARTIGIANI FR 8;CASTEL SAN PIETRO TERME;706335;919707;44,399461;11,589957;513
101;10083;TOSCANELLA 25 APRILE;VIA EMILIA (SS 9) KM 85+300;TOSCANELLA;709896;918163;44,38455;11,634004;514
101;10086;RIO ROSSO;VIA EMILIA LEVANTE 2273;CASTEL SAN PIETRO TERME;708794;918714;44,389825;11,620405;513
